start,end,name
215.59,216.09,PostStimSilence
216.69,222.191,TRIAL
216.69,222.19,STIM_ferretmixed17.wav
216.69,222.19,REFERENCE
216.69,218.69,PreStimSilence
221.69,222.19,PostStimSilence
222.73,228.231,TRIAL
222.73,228.23,STIM_ferretmixed15.wav
222.73,228.23,REFERENCE
222.73,224.73,PreStimSilence
227.73,228.23,PostStimSilence
228.77,234.27100000000002,TRIAL
228.77,234.27,STIM_ferretmixed19.wav
228.77,234.27,REFERENCE
228.77,230.77,PreStimSilence
233.77,234.27,PostStimSilence
234.74,240.241,TRIAL
234.74,240.24,STIM_ASE-71_IBM_Electric_Typewriter.wav
234.74,240.24,REFERENCE
234.74,236.74,PreStimSilence
239.74,240.24,PostStimSilence
240.97,246.471,TRIAL
240.97,246.47,STIM_ASE-58_Raking_Leaves_On_Asphalt.wav
240.97,246.47,REFERENCE
240.97,242.97,PreStimSilence
245.97,246.47,PostStimSilence
247.04,252.541,TRIAL
247.04,252.54,STIM_SoundBible_water.wav
247.04,252.54,REFERENCE
247.04,249.04,PreStimSilence
252.04,252.54,PostStimSilence
253.01,258.51099999999997,TRIAL
253.01,258.51,STIM_00ferretmixed41.wav
253.01,258.51,REFERENCE
253.01,255.01,PreStimSilence
258.01,258.51,PostStimSilence
259.1,264.60200000000003,TRIAL
259.1,264.6,STIM_00ferretmixed42.wav
259.1,264.6,REFERENCE
259.1,261.1,PreStimSilence
264.1,264.6,PostStimSilence
265.08,270.58099999999996,TRIAL
265.08,270.58,STIM_ferretmixed26.wav
265.08,270.58,REFERENCE
265.08,267.08,PreStimSilence
270.08,270.58,PostStimSilence
271.11,276.611,TRIAL
271.11,276.61,STIM_ferretmixed10.wav
271.11,276.61,REFERENCE
271.11,273.11,PreStimSilence
276.11,276.61,PostStimSilence
277.21,282.71099999999996,TRIAL
277.21,282.71,STIM_si1230.wav
277.21,282.71,REFERENCE
277.21,279.21,PreStimSilence
282.21,282.71,PostStimSilence
283.35,288.851,TRIAL
283.35,288.85,STIM_scratching_beard.wav
283.35,288.85,REFERENCE
283.35,285.35,PreStimSilence
288.35,288.85,PostStimSilence
289.3,294.801,TRIAL
289.3,294.8,STIM_ESE-25_Chickens_-_Alarmed_squawking.wav
289.3,294.8,REFERENCE
289.3,291.3,PreStimSilence
294.3,294.8,PostStimSilence
295.37,300.871,TRIAL
295.37,300.87,STIM_00ferretmixed42.wav
295.37,300.87,REFERENCE
295.37,297.37,PreStimSilence
300.37,300.87,PostStimSilence
301.32,306.82099999999997,TRIAL
301.32,306.82,STIM_00ferretmixed41.wav
301.32,306.82,REFERENCE
301.32,303.32,PreStimSilence
306.32,306.82,PostStimSilence
307.27,312.77099999999996,TRIAL
307.27,312.77,STIM_pouring_coins.wav
307.27,312.77,REFERENCE
307.27,309.27,PreStimSilence
312.27,312.77,PostStimSilence
313.24,318.741,TRIAL
313.24,318.74,STIM_jingling_keys.wav
313.24,318.74,REFERENCE
313.24,315.24,PreStimSilence
318.24,318.74,PostStimSilence
319.31,324.811,TRIAL
319.31,324.81,STIM_00ferretmixed42.wav
319.31,324.81,REFERENCE
319.31,321.31,PreStimSilence
324.31,324.81,PostStimSilence
325.23,330.731,TRIAL
325.23,330.73,STIM_babble.wav
325.23,330.73,REFERENCE
325.23,327.23,PreStimSilence
330.23,330.73,PostStimSilence
331.3,336.802,TRIAL
331.3,336.8,STIM_Oxford_male2e.wav
331.3,336.8,REFERENCE
331.3,333.3,PreStimSilence
336.3,336.8,PostStimSilence
337.28,342.78099999999995,TRIAL
337.28,342.78,STIM_SE2-96_New_England_Day.wav
337.28,342.78,REFERENCE
337.28,339.28,PreStimSilence
342.28,342.78,PostStimSilence
343.35,348.851,TRIAL
343.35,348.85,STIM_ASE-04_Frying_Eggs.wav
343.35,348.85,REFERENCE
343.35,345.35,PreStimSilence
348.35,348.85,PostStimSilence
349.35,354.851,TRIAL
349.35,354.85,STIM_ferretmixed39.wav
349.35,354.85,REFERENCE
349.35,351.35,PreStimSilence
354.35,354.85,PostStimSilence
355.36,360.861,TRIAL
355.36,360.86,STIM_Music-Apache.wav
355.36,360.86,REFERENCE
355.36,357.36,PreStimSilence
360.36,360.86,PostStimSilence
361.67,367.171,TRIAL
361.67,367.17,STIM_si2260.wav
361.67,367.17,REFERENCE
361.67,363.67,PreStimSilence
366.67,367.17,PostStimSilence
367.58,373.08099999999996,TRIAL
367.58,373.08,STIM_kayser_squawk.wav
367.58,373.08,REFERENCE
367.58,369.58,PreStimSilence
